--totals	46319	 151313	 151313	 15	 4999	 5190	 4961	 5130	 
--totals	39736	 152290	 152290	 15	 4999	 5272	 4961	 5188	 
--totals	40688	 153242	 153242	 14	 4999	 5328	 4961	 5247	 
--totals	33851	 154198	 154198	 14	 4999	 5389	 4961	 5299	 
--totals	34763	 155110	 155110	 14	 4999	 5457	 4961	 5357	 
--totals	35687	 156034	 156034	 13	 4999	 5510	 4961	 5432	 
--totals	28524	 156948	 156948	 13	 4999	 5570	 4961	 5502	 
--totals	29398	 157822	 157822	 13	 4999	 5638	 4961	 5557	 
--totals	30270	 158694	 158694	 12	 4999	 5701	 4961	 5615	 
--totals	22778	 159547	 159547	 12	 4999	 5766	 4961	 5702	 
--totals	23560	 160329	 160329	 11	 4999	 5826	 4961	 5761	 
--totals	15667	 161140	 161140	 11	 4999	 5898	 4961	 5836	 
--totals	16349	 161822	 161822	 10	 4999	 5973	 4961	 5889	 
--totals	8067	 162500	 162500	 10	 4999	 5973	 4961	 5973	 
--totals	8649	 163082	 163082	 10	 4999	 5973	 4961	 6023	 
--totals	9220	 163653	 163653	 10	 4999	 5973	 4961	 6083	 
--totals	9757	 164190	 164190	 09	 4999	 5973	 4961	 6151	 
--totals	1055	 164714	 164714	 08	 4999	 5973	 4961	 6151	 
--totals	-7827	 165103	 165103	 09	 4999	 5973	 4961	 6151	 
--totals	-5	 165404	 165404	 08	 4999	 5973	 4961	 6151	 
--totals	-9015	 165807	 165807	 09	 4999	 5973	 4961	 6151	 
--totals	-1236	 166060	 166060	 09	 4999	 5973	 4961	 6151	 
--totals	-846	 166450	 166450	 09	 4999	 5973	 4961	 6151	 
--totals	-476	 166820	 166820	 09	 4999	 5973	 4961	 6151	 
--totals	-139	 167157	 167157	 08	 4999	 5973	 4961	 6151	 
--totals	-9380	 167509	 167509	 09	 4999	 5973	 4961	 6151	 
--totals	-1578	 167752	 167752	 09	 4999	 5973	 4961	 6151	 
--totals	-1218	 168112	 168112	 09	 4999	 5973	 4961	 6151	 
--totals	-880	 168450	 168450	 08	 4999	 5973	 4961	 6151	 
--totals	-9095	 168749	 168749	 08	 4999	 5973	 4961	 6151	 
--totals	-8902	 168942	 168942	 08	 4999	 5973	 4961	 6151	 
--totals	-8734	 169110	 169110	 09	 4999	 5973	 4961	 6151	 
--totals	-999	 169347	 169347	 08	 5104	 5973	 4961	 6151	 
--totals	-10526	 169673	 169673	 08	 5210	 5973	 4961	 6151	 
--totals	-10336	 169863	 169863	 08	 5268	 5973	 4961	 6151	 
--totals	-10179	 170020	 170020	 09	 5311	 5973	 4961	 6151	 
--totals	-2422	 170217	 170217	 09	 5344	 5973	 4961	 6151	 
--totals	-2114	 170525	 170525	 09	 5393	 5973	 4961	 6151	 
--totals	-1814	 170825	 170825	 09	 5448	 5973	 4961	 6151	 
--totals	-1506	 171133	 171133	 09	 5510	 5973	 4961	 6151	 
--totals	-1206	 171433	 171433	 08	 5570	 5973	 4961	 6151	 
--totals	-11043	 171705	 171705	 09	 5618	 5973	 4961	 6151	 
--totals	-3065	 171890	 171890	 10	 5639	 5973	 4961	 6151	 
--totals	4892	 172211	 172211	 10	 5672	 5973	 4961	 6151	 
--totals	5359	 172678	 172678	 10	 5734	 5973	 4961	 6151	 
--totals	5787	 173106	 173106	 10	 5778	 5973	 4961	 6151	 
--totals	6246	 173565	 173565	 10	 5833	 5973	 4961	 6151	 
--totals	6693	 174012	 174012	 10	 5872	 5973	 4961	 6151	 
--totals	7145	 174464	 174464	 10	 5914	 5973	 4961	 6151	 
--totals	7546	 174865	 174865	 09	 5955	 5973	 4961	 6151	 
--totals	-877	 175271	 175271	 09	 6005	 5973	 4961	 6151	 
--totals	-567	 175581	 175581	 08	 6040	 5973	 4961	 6151	 
